name,url,score
California Pizza Kitchen,https://maps.app.goo.gl/Rvov6ZvDfoX2MCC98,152.0
Extreme Pizza,https://maps.app.goo.gl/1uZxG2mZshD9Pp9A6,6.0
"We, The Pizza",https://maps.app.goo.gl/5GyfTt45vcy9zAG47,233.0
My Own Pizza,https://maps.app.goo.gl/p7hwChtur7r3JpMf8,28.999999999999996
Pizza Pie Me,https://maps.app.goo.gl/ZQMPqGXedazt7Beg6,100.0
Ledo Pizza,https://maps.app.goo.gl/VUBxE3azpT8uRJCx9,8.0
Sicilian Pizza,https://maps.app.goo.gl/vHVcNh6qjp6B7K2X7,139.0
"We, The Pizza (2)",https://maps.app.goo.gl/k2g41Dqejiw1ZtWy8,19.0
&Pizza (2),https://maps.app.goo.gl/PvT4tKeV5xWPgcAp6,3.0
Marios Pizza House,https://maps.app.goo.gl/VPTjmFT6fdgg5SZL9,32.0
Stone Hot Pizza,https://maps.app.goo.gl/Spc4JqzqMCD3TBVq5,0.0
Fire Works Pizza,https://maps.app.goo.gl/THnC7idAdzBh5r3m8,82.0
Pizza Hut,https://maps.app.goo.gl/PAytC1sPyamTMjq37,0.0
Pizza Hut,https://maps.app.goo.gl/cXyTAAhtHRWsXrLJ8,0.0
Pizza Hut,https://maps.app.goo.gl/hfsWC6ozC2Y8q5zc9,89.0
Pizza Hut,https://maps.app.goo.gl/rhz7A2Ty9LKH33PK6,2.0
Pizza Hut,https://maps.app.goo.gl/qoFiL4i3LZYWEQbA8,100.0
Pizza Hut,https://maps.app.goo.gl/kF4SNqzk64xqZ4DG7,5.0
Pizza Hut,https://maps.app.goo.gl/obkDW7ZaCom3W6fr7,94.0
Pizza Hut,https://maps.app.goo.gl/dB5YiybjVpTDLD3k7,30.0
Little Ceasars,https://maps.app.goo.gl/hctAHV5UHhi6cbu26,18.0
Dominos,https://maps.app.goo.gl/9Wz14mHEPi2xJqDh6,104.0
Dominos,https://maps.app.goo.gl/bzvW89Nu3DkVtHPk8,46.0
Dominos,https://maps.app.goo.gl/2hcgnKJJxSQWvzsd6,88.0
Dominos,https://maps.app.goo.gl/PZ8ki7KysbRa5cxg8,0.0
Dominos,https://maps.app.goo.gl/m54BsuLK3u9oXAYu6,123.0
Dominos,https://maps.app.goo.gl/DCgbMvt61PamDVyz5,52.0
Dominos,https://maps.app.goo.gl/UMD4vfbv1KZ8k85X6,0.0
Dominos,https://maps.app.goo.gl/9eZappuaYoMcNU8n6,34.0
Dominos,https://maps.app.goo.gl/f2a9chVoEHiMKuPv6,50.0
Papa Johns,https://maps.app.goo.gl/emm3iY2pZ8NA2W7X7,74.0
Papa Johns,https://maps.app.goo.gl/kyND7fmTjXdBSSAx8,137.0
Papa Johns,https://maps.app.goo.gl/JfrD9S1drCzVdUCi6,323.0
Papa Johns,https://maps.app.goo.gl/Prr9fJnhk3agMZGh8,53.0
Papa Johns,https://maps.app.goo.gl/o83bP4dv2aR6dzAa9,52.0
Papa Johns,https://maps.app.goo.gl/UgAYPFe7TsjV9yTD9,17.0
Papa Johns,https://maps.app.goo.gl/GJA8HgBgUPCvNbQM9,111.00000000000001
Papa Johns,https://maps.app.goo.gl/74BTjDK6QehBr9Lg7,323.0
Papa Johns,https://maps.app.goo.gl/EAcpbLR6FnkxEhfm9,100.0
Papa Johns,https://maps.app.goo.gl/ZpLB6J6aJfwPuEeh8,84.0
Papa Johns,https://maps.app.goo.gl/9R944uNw5hSqrUct7,54.0
Papa Johns,https://maps.app.goo.gl/pHE5xFZF4J16Jho19,82.0
Papa Johns,https://maps.app.goo.gl/o9YiDn8dFEFE2nsw5,1.0
Papa Johns,https://maps.app.goo.gl/M1DMBuFZraQL1qkx7,53.0
Papa Johns,https://maps.app.goo.gl/MPZN88yahVMWQcEaA,28.999999999999996
Papa Johns,https://maps.app.goo.gl/vQGxcpBodu2beyod9,48.0
