name,url,score
California Pizza Kitchen,https://maps.app.goo.gl/Rvov6ZvDfoX2MCC98,139.0
Extreme Pizza,https://maps.app.goo.gl/1uZxG2mZshD9Pp9A6,46.0
"We, The Pizza",https://maps.app.goo.gl/5GyfTt45vcy9zAG47,49.0
My Own Pizza,https://maps.app.goo.gl/p7hwChtur7r3JpMf8,25.0
Pizza Pie Me,https://maps.app.goo.gl/ZQMPqGXedazt7Beg6,4.0
Ledo Pizza,https://maps.app.goo.gl/VUBxE3azpT8uRJCx9,54.0
Sicilian Pizza,https://maps.app.goo.gl/vHVcNh6qjp6B7K2X7,0.0
"We, The Pizza (2)",https://maps.app.goo.gl/k2g41Dqejiw1ZtWy8,157.0
&Pizza (2),https://maps.app.goo.gl/PvT4tKeV5xWPgcAp6,109.00000000000001
Marios Pizza House,https://maps.app.goo.gl/VPTjmFT6fdgg5SZL9,166.0
Stone Hot Pizza,https://maps.app.goo.gl/Spc4JqzqMCD3TBVq5,5.0
Fire Works Pizza,https://maps.app.goo.gl/THnC7idAdzBh5r3m8,56.00000000000001
Pizza Hut,https://maps.app.goo.gl/PAytC1sPyamTMjq37,62.0
Pizza Hut,https://maps.app.goo.gl/cXyTAAhtHRWsXrLJ8,0.0
Pizza Hut,https://maps.app.goo.gl/hfsWC6ozC2Y8q5zc9,105.0
Pizza Hut,https://maps.app.goo.gl/rhz7A2Ty9LKH33PK6,0.0
Pizza Hut,https://maps.app.goo.gl/sHxiiTAGMQAVL8X49,157.0
Pizza Hut,https://maps.app.goo.gl/qoFiL4i3LZYWEQbA8,0.0
Pizza Hut,https://maps.app.goo.gl/kF4SNqzk64xqZ4DG7,1111.0
Pizza Hut,https://maps.app.goo.gl/obkDW7ZaCom3W6fr7,91.0
Pizza Hut,https://maps.app.goo.gl/dB5YiybjVpTDLD3k7,159.0
Little Ceasars,https://maps.app.goo.gl/hctAHV5UHhi6cbu26,77.0
Dominos,https://maps.app.goo.gl/9Wz14mHEPi2xJqDh6,15.0
Dominos,https://maps.app.goo.gl/bzvW89Nu3DkVtHPk8,39.0
Dominos,https://maps.app.goo.gl/x4FAZFX52yk6rsm66,4.0
Dominos,https://maps.app.goo.gl/2hcgnKJJxSQWvzsd6,49.0
Dominos,https://maps.app.goo.gl/2yVhqxxiEP3wfxiF9,23.0
Dominos,https://maps.app.goo.gl/aXnyytcWFYimhTZh7,19.0
Dominos,https://maps.app.goo.gl/m54BsuLK3u9oXAYu6,0.0
Dominos,https://maps.app.goo.gl/DCgbMvt61PamDVyz5,69.0
Dominos,https://maps.app.goo.gl/UMD4vfbv1KZ8k85X6,0.0
Dominos,https://maps.app.goo.gl/9eZappuaYoMcNU8n6,235.0
Dominos,https://maps.app.goo.gl/f2a9chVoEHiMKuPv6,81.0
Dominos,https://maps.app.goo.gl/hvksAvtiKUFTZ6G69,52.0
Papa Johns,https://maps.app.goo.gl/emm3iY2pZ8NA2W7X7,133.0
Papa Johns,https://maps.app.goo.gl/kyND7fmTjXdBSSAx8,27.0
Papa Johns,https://maps.app.goo.gl/JfrD9S1drCzVdUCi6,25.0
Papa Johns,https://maps.app.goo.gl/o83bP4dv2aR6dzAa9,0.0
Papa Johns,https://maps.app.goo.gl/UgAYPFe7TsjV9yTD9,14.000000000000002
Papa Johns,https://maps.app.goo.gl/xdPiYCiTpU2iSoq88,7.000000000000001
Papa Johns,https://maps.app.goo.gl/GJA8HgBgUPCvNbQM9,156.0
Papa Johns,https://maps.app.goo.gl/74BTjDK6QehBr9Lg7,25.0
Papa Johns,https://maps.app.goo.gl/EAcpbLR6FnkxEhfm9,84.0
Papa Johns,https://maps.app.goo.gl/ZpLB6J6aJfwPuEeh8,141.0
Papa Johns,https://maps.app.goo.gl/9R944uNw5hSqrUct7,28.999999999999996
Papa Johns,https://maps.app.goo.gl/pHE5xFZF4J16Jho19,24.0
Papa Johns,https://maps.app.goo.gl/MPZN88yahVMWQcEaA,93.0
Papa Johns,https://maps.app.goo.gl/gMyCwZw4VKq3sAMSA,0.0
Papa Johns,https://maps.app.goo.gl/vQGxcpBodu2beyod9,0.0
