name,url,score
Extreme Pizza,https://maps.app.goo.gl/1uZxG2mZshD9Pp9A6,68.0
"We, The Pizza",https://maps.app.goo.gl/5GyfTt45vcy9zAG47,150.0
My Own Pizza,https://maps.app.goo.gl/p7hwChtur7r3JpMf8,28.999999999999996
Ledo Pizza,https://maps.app.goo.gl/VUBxE3azpT8uRJCx9,51.0
Sicilian Pizza,https://maps.app.goo.gl/vHVcNh6qjp6B7K2X7,50.0
Marios Pizza House,https://maps.app.goo.gl/VPTjmFT6fdgg5SZL9,28.999999999999996
Pizza Hut,https://maps.app.goo.gl/PAytC1sPyamTMjq37,269.0
Pizza Hut,https://maps.app.goo.gl/cXyTAAhtHRWsXrLJ8,0.0
Pizza Hut,https://maps.app.goo.gl/hfsWC6ozC2Y8q5zc9,192.0
Pizza Hut,https://maps.app.goo.gl/rhz7A2Ty9LKH33PK6,33.0
Pizza Hut,https://maps.app.goo.gl/sHxiiTAGMQAVL8X49,0.0
Pizza Hut,https://maps.app.goo.gl/qoFiL4i3LZYWEQbA8,19.0
Pizza Hut,https://maps.app.goo.gl/obkDW7ZaCom3W6fr7,37.0
Pizza Hut,https://maps.app.goo.gl/dB5YiybjVpTDLD3k7,23.0
Dominos,https://maps.app.goo.gl/bzvW89Nu3DkVtHPk8,25.0
Dominos,https://maps.app.goo.gl/2hcgnKJJxSQWvzsd6,0.0
Dominos,https://maps.app.goo.gl/UMD4vfbv1KZ8k85X6,0.0
Dominos,https://maps.app.goo.gl/9eZappuaYoMcNU8n6,70.0
Dominos,https://maps.app.goo.gl/f2a9chVoEHiMKuPv6,33.0
Papa Johns,https://maps.app.goo.gl/Prr9fJnhk3agMZGh8,20.0
Papa Johns,https://maps.app.goo.gl/o83bP4dv2aR6dzAa9,100.0
Papa Johns,https://maps.app.goo.gl/UgAYPFe7TsjV9yTD9,0.0
Papa Johns,https://maps.app.goo.gl/GJA8HgBgUPCvNbQM9,0.0
Papa Johns,https://maps.app.goo.gl/EAcpbLR6FnkxEhfm9,74.0
Papa Johns,https://maps.app.goo.gl/ZpLB6J6aJfwPuEeh8,350.0
Papa Johns,https://maps.app.goo.gl/9R944uNw5hSqrUct7,17.0
Papa Johns,https://maps.app.goo.gl/pHE5xFZF4J16Jho19,0.0
Papa Johns,https://maps.app.goo.gl/o9YiDn8dFEFE2nsw5,20.0
Papa Johns,https://maps.app.goo.gl/M1DMBuFZraQL1qkx7,20.0
Papa Johns,https://maps.app.goo.gl/MPZN88yahVMWQcEaA,13.0
Papa Johns,https://maps.app.goo.gl/gMyCwZw4VKq3sAMSA,11.0
Papa Johns,https://maps.app.goo.gl/vQGxcpBodu2beyod9,23.0
